record_id,title,class_no_book_no,intent,depth,publisher,pages
f668562281d933563ad3854c666af877,Focusing Solutions for Data Mining,006.3 rei,,,Springer Science & Business Media,"xiv, 307 p.;"
6213bca28fd9e3ada2bca3010cf18fe3,"Multimedia Applications, Services and Techniques - ECMAST'99",004 leo,,,Springer Science & Business Media,574 p.;
61b553c86b99bd76c122dc887e2a19e2,Multimedia Systems,006.7 mor,,,Springer Science & Business Media,"xi, 191 p.;"
981e5014a2cb501f989e0c8d8f5b423d,Principles of Data Mining and Knowledge Discovery,006.3 zyt,,,Springer Science & Business Media,593 p.;
35b2721cc35f6e8739803322f0432c26,Visual Information and Information Systems,004 hui,,,Springer Science & Business Media,"xviii, 827 p."
52bbf6428b3c693d6a44a9e8f8ed182a,"Knowledge Acquisition, Modeling and Management",006.3 fen,,,Springer Science & Business Media,404 p.;
300b64aeb58c1988b9c49c4d35c25f88,Advanced Information Systems Engineering,004 jar,,,Springer Science & Business Media,478 p.;
6a1c47ff145ebe906992efd76a44ad59,Data Warehousing and Knowledge Discovery,004 moh,,,Springer Science & Business Media,400 p.;
bed24e3b9c85bf216976ddb2b2631415,Multimedia Information Analysis and Retrieval,004 iph,,,Springer,"viii, 264 p.;"
e350e14a87b1f31c841796e418fb5e41,"Software Process: Principles, Methodology, and Technology",004 der,,,Springer Science & Business Media,307 p.;
6beccfa80cda7386cb98d1be8b61b43a,Workflow Management Systems for Process Organisations,658 sch,,,Springer Science & Business Media,229 p.;
378a275da19f45adef2eb3c0674bc09a,Conceptual Modeling,004 che,,,Springer Science & Business Media,301 p.;
2554bc005ec8e6c85a2bb618aeb525b6,Computer-Supported Cooperative Work,003.78 bor,,,Springer Science & Business Media,529 p.;
829476e7a7bf9b65bf8e121f9763c5b5,Conceptual Modeling for User Interface Development,005.428 ben,,,Springer,187 p.;
98e3ef92a636ad716ca4c84387ebb666,Foundations of Software Technology and Theoretical Computer Science,004 ran,,,Springer Science & Business Media,452 p.;
66675e0d53bb455944077d1543ce4754,Communication Complexity and Parallel Computing,005.275 hro,,,Springer Science & Business Media,336 p.;
28db6cedabbdff884513db569c726f3c,Multimedia Cartography,006.7 car,,,Springer Science & Business Media,343 p.;
dc4ada4f82c30dcc172b419aafc0f6b9,Methodologies for Knowledge Discovery and Data Mining,006.3 zho,,,Springer Science & Business Media,533 p.;
c61d6f6a6864e6980dbe53851a782613,Digital Convergence: The Information Revolution,621.382 vin,,,Springer,350 p.;
552ccd5a0b85baec340719427b1a73e6,Software Agents for Future Communication Systems,621.382 hay,,,Springer Science & Business Media,380 p.;
5e768834f10271d78054a0d037856265,The Economic Value of Information,658.4038 law,,,Springer,393 p.;
9b45a381214dc31a0e801e37423ca320,Large-Scale Parallel Data Mining,006.3 zak,,,Springer Science & Business Media,"viii, 260 p.;"
e5036c164b186c1b48e3ac26b4e0ad3f,Advances in Distributed Systems,004 kra,,,Springer Science & Business Media,508 p.;
bdeac23828f4c0458a6a020f0a8f8d22,Advanced Multimedia Content Processing,004 nis,,,Springer Science & Business Media,454 p.;
3b9d0c319c65b5709f48ca711a11eef1,Information Security and Privacy,004 pie,,,Boom Koninklijke Uitgevers,331 p.;
0eec90c7ff638d93cd8fc8e0a912587a,Graph-Theoretic Concepts in Computer Science,004 wid,,,Springer Science & Business Media,414 p.;
292f033a2a104ebf3feb2e89a7f53ce1,Computational Intelligence: Soft Computing and Fuzzy-Neuro Integration with Applications,006.3 kay,,,Springer Science & Business Media,538 p.;
650f27608064463f1827bd1c3905a83f,Compilers,005.453 aho,,,,796 p.;
7ae3723f30dc9e890f13153384b2f021,Computer Networks and Systems,004.6 rob,,,Springer Science & Business Media,409 p.;
a0d382a3de4939c929b2bae841f1e039,mythical man-month,809.4 bro,,,,322 p.;
aa634e30f663773c5ad2aeb5a7ef015a,Operating Systems,005.43 dei,,,,853 p.;
ebb4b3a4cf8173300784349f15e85f1d,Computer Graphics,006.6 fol,,,,1174 p.;
0f2167399d0ae678d2d0b47b5a85eef6,An Introduction to Database Systems,005.74 dat,,,,938 p.;
51afa04d88ee1574375f36a8fc690420,multimedia systems,006.7 buf,,,,450 p.;
1f19a3bb9757e963d2772f9a0b09099f,system software,005.42 bec,,,,519 p.;
02b9b6c26670c9a095260e99798c3ba6,Software Engineering,005.1 som,,,,742 p.;
e05a4efa2522f7b92e2742d74b87dd91,software testing in the real world,005.1 kit,,,,252 p.;
dbff0994e2e7c3eefb98c25557b13792,discrete mathematics for computer scientists,511.3 tru,,,,585 p.;
46df4fbe48896117d01ae82ae63f0152,Cryptography and Network Security,005.8 sta,,,,569 p.;
345e59c1ef197cd8f8512362beb2e61c,"snmp, snmpv2, snmpv3 and rmon 1 and 2",005.754 sta,,,,619 p.;
5524a68569ff1468944e6f736cafffb1,ip fundamentals,005.754 mau,,,,492 p.;
86ff766e62c71c88673143bfaf3db86d,Interconnections,004.678 per,,,,537 p.;
cb63c57430f40d983330383278840347,Data Communications Computer Networks And Open Systems,621.3981 hal,,,,907 p.;
7fa10d4f24bc82859d505fad7ff72030,managing the software process,005.1 hum,,,,494 p.;
7a21e0b2bc6c3b5f9cf1f4db4370201f,Mobile Communications,621.382 sch,,,,394 p.;
fc89fa3cf355bc6f071a6e0b8c0c8bb1,Kaizen Strategies For Coustmer Care,658.812 wel,,,,"xiii, 239 p.;"
aa1aa4a896c0bb375dbb5893c0029e35,atm networks,005.754 han,,,,327 p.;
7c05e0c9d0ece67765fae59af3b3eeb6,effective tcp/ip programming,005.754 sna,,,,299 p.;
791f80828572862705e15293719ace9e,HTML,005.711 pow,,,McGraw-Hill Companies,1130 p. ;
13a9b8073b91027ccf3074f4383317cf,Building Corporate Portals with XML,005.74 fin,,,Computing McGraw-Hill,529 p.;
702374b8b9bd4fa29cde7e95c7f08f1c,Upgrading & Troubleshooting Networks: The Complete Reference,004.77 zac,,,Tata McGraw-Hill Education,918 p.;
37bdd1a25636954e9e4cef32b8e0b56d,Data Comm N Netwkg 2/E Update,621.3891 for,,,Tata McGraw-Hill Education,908 p.;
c77cf1d0b17ff166bfdf29f9575e52aa,Firewalls Complete,005.754 gon,,,McGraw-Hill Companies,678 p.;
21c7dd0549dfb623940125224a0c7d1f,Computer Graphics,006.6 hea,,,,652 p.;
a5072d8291e03fa6ee0cffe8d0c2781d,Data Communications And Distributed Networks 3Rd Ed.,621.3891 bla,,,,426 p.;
3e928cc7b8b5e41c27d257823b157db4,introduction to geographical information systems,910.285 hey,,,,279 p.;
a29234a869c5b66d7af9033f744821b9,DATA AND COMPUTER COMMUNICATIONS,004.6 sta,,,,798 p.;
fd8ab23bdac793a664571d0e86efa85d,Data Communications,621.382 gup,,,,475 p.;
3615ee9cb404f237739d4561d510ea21,Discrete Mathematics For Computer Scientists And Mathematicians 2Nd Ed.,511.3 mot,,,,751 p.;
8e17d8ae69f3aedad5a68dd4a5d0fdad,Fundamentals of Software Engineering,005.1 ghe,,,,573 p.;
dd7c3e8c5a4476748e147ce5bcc45ab9,Introduction To Systems Analysis And Design,004.21 haw,,,,"xviii, 484 p.;"
eaea74de8f9b3a18ceb5d6d8ced20066,ARTIFICIAL NEURAL NETWORKS,006.32 yeg,,,PHI Learning Pvt. Ltd.,461 p.;
59c9614c74811377c9670b2f3a1f7d0b,Introduction to Digital Signal Processing,621.3822 joh,,,,407 p.;
9a8cc47fef2d28a2bc4475e3140b7999,An Introduction To Fiber Optics,621.3692 sho,,,,173 p.;
b86edc150b1e586190676eb260353ec5,Digital Signal Processing,621.3822 opp,,,,585 p.;
0b2505121c7c6831c2fa8704826c991f,telecommunication switching systems and networks,621.38 vis,,,,583 p.;
bce5a2d204aa4b917688f9ef8dd0cddc,Optical Fiber Communications,621.38275 sen,,,,921 p.;
5943403be322b1f30ffaced65fccc4a3,Optoelectronics An Introduction,621.381045 wil,,,,470 p.;
d716ac4a70827d0aab47da1378118d31,elements of the theory of computation,004 lew,,,,466 p.;
8c08fccc8c5310e656db6ac7fb5765e8,Sos Computer Graphics S/C Schaum,006.6 xia,,,,347 p.;
104664500f547cb1afd7b5641525d3d5,Digital Image Processing,621.367 gon,,,,716 p.;
8e9faed582b472bbc5c7695f3ecd2e7b,Programming Perl 3/E,005.13 wal,,,,1067 p.;
e609c445fa044cf474b05e51cdea72a1,Unix Shell Programming,005.74 kan,,,,486 p.;
3be731da749ce4cbbbbbba1dc159b800,High-performance Communication Networks,621.3821 wal,,,,693 p.;
fdc6e18dedb7dba6242c9fe8b7fa7fad,Computer Graphics,006.6 har,,,,466 p.;
c7825e6345162ea55b8f69032d393c4e,vbscript interactive course,004.678 jer,,,,736 p.;
f0e4d66d32063ff543d2974815587f4b,"engineering approach to computer networking : atm networks, the internet and the telephone network",004.6 kes,,,,660 p.;
cb4dbfb6dc17a81f17e96c7ccb210eae,effective methods for software testing,005.1 per,,,,812 p.;
2cc0129996a298728e4990a44b0bbfca,Cisco CCIE Fundamentals,004.6 cis,,,MacMillan Technical Publishing,835 p.;
021338d14222986760d11577345ee347,Commercial Application Development Using Oracle Developer 2000,005.74 bay,,,,482 p.;
7f224ea409d39397c15c30be5605bce0,data mining,006.3 adr,,,,"xi, 158 p.;"
ef067cc30c3bc080430d2c10998aa237,Programming In Visual Basic,005.118 mcb,,,,199 p.;
509cf4c1190056eb9cc8dc4bac7dbf56,Object-oriented Modeling and Design,005.117 rum,,,,500 p.;
c0ca37c1aeeb8dc40f7b8f4b39220c03,"using html 4, xml and java 1.2",005.73 lad,,,,128 p.;
b8c90231894f47ad86b436e4fa311859,Understanding Electronic Commerce,658.4 kos,,,,287 p.;
6cf2e6ded38b0e60804fb82f76d4f0dc,Information Systems,658.4038 alt,,,,523 p.;
b5f945997183b6f754284b1699b20ef6,TCP/IP Illustrated,005.754 ste,,,,328 p.;
04236ce4b1ea7933c38917a6afe6e698,Software Engineering: a Practitionars Aprroach,005.1 pre,,,,860 p.;
6ccf495736f381ef16afcbfa2c1aa74e,Introduction to Electrodynamics,621.31 gri,,,Ingram,576 p.;
0dfa188554ff88eabcdcbbefab99e1c1,modern systems analysis and design,005.12 hof,,,,854 p.
d17d86f65532b7617783852874123882,designing systems for internet commerce,658.8002854678 tre,,,,375 p.;
5e4a12884f1d987045e6c674f290c9f9,Unix Shell Orogrammer's Interactive Workbook,005.754 vic,,,,596 p.;
7cbd8d6d6bcc76e5233c69100b4c9dcc,Understanding Sql,005.74 gru,,,,484 p.;
6412802223dad6a2d714ead829e4eba6,High-performance Communication Networks,621.382 wal,,,Morgan Kaufmann,693 p.;
51e58a97f37527054066fec0b5cebde8,software reuse,005.1 jac,,,,497 p.;
7db43d81b752a4e9455e2fc86a5796f4,Linux Kernel Internals,005.432 bec,,,,480 p.;
7b82bc9d79f4ef3d09384cedb8f793ee,Advanced Programming In The Unix Environment,005.754 ste,,,,744 p.;
7a8df6523bd86ebb9a6cd46bea7fae9d,Introduction To Artificial Intelligence,006.3 cha,,,,701 p.;
cab2f454f8c1383afdcf3c7fad4ff047,modern control systems,629.83 dor,,,,855 p.;
6bbdaecef47f804e340b32ac919edd22,Maximum Security,005.8 ano,,,Sams Publishing,885 p.;
f79a2193b67567fa092626461f05123e,Communication Networks,621.3821 leo,,,McGraw-Hill Companies,867 p.;
dd0a6d64b92c79ddc925f60e226a4a89,Microprocessors and Interfacing,004.16 hal,,,Gregg Division McGraw-Hill,624 p.;
ed60f3398d37b96cee43944dae22026b,Decrypted Secrets,005.82 bau,,,Springer Science & Business Media,470 p.;
d8f32c77a468c6b3c5fd5b5efd6d7ea5,Systems Programming,005.42 don,,,Tata McGraw-Hill Education,488 p.;
79d60006feb92320e35c6e80dd1df1d7,classical electrodynamics,537.6 jac,,,,808 p.;
34abf918bc50e9df9e6ef5b984e0248c,Operating Sys: Concept 2E,005.43 mil,,,Tata McGraw-Hill Education,755 p.;
125e374b34011152b43fa54b826061f8,Operating Systems,005.43 mad,,,Tata McGraw-Hill Education,640 p.;
a2ec475edbb517b8a21f7417a7a5d23d,Computer Networks,004.6 pet,,,,748 p.;
f83b2a68b0dfb9ae599f69731fa4efa6,Local Area Networks,004.6 kei,,,McGraw-Hill Companies,420 p.;
718c9a141008d1b68806e18cc2979ca9,Software Engineering Concepts,005.1 fai,,,McGraw-Hill Companies,364 p.;
0ca553798317be8604cea3f987aaa8f3,Microprocessors,004.16 pal,,,,332 p.;
84dc99d66433dc8656bc9dc9fbbb84bc,Windows 2000 Programming from the Ground Up,005.437 sch,,,McGraw-Hill Companies,741 p.;
7f58ad25e0a28b7f0613f92c1af46f42,Discrete Mathematical Structures,511.6 kol,,,,524 p.;
06b19ad649b7e8b7ca95248afb25d90b,Introduction to the Theory of Computation,511.3 sip,,,Course Technology,396 p.;
3a250c95f1134c1c3184bc537a0382ef,Introduction to Database Management,005.74 pra,,,,304 p.;
35dc7a2e49232491d292de42a32644bf,Prin Of Interactive Comp,006.6 new,,,Tata McGraw-Hill Education,541 p.;
9625d187f85244cb205169469c0c958b,Bigelow's Printer Troubleshooting Pocket Reference,004.77 big,,,McGraw-Hill/Osborne Media,436 p.;
5211bca27a338847f4c2795a113f45f5,Microprocessors,004.16 gil,,,"McGraw-Hill Science, Engineering & Mathematics",556 p.;
c5fe56946fd503a7d241e64e613fe889,Discrete Mathematical Stru,510.240901 tre,,,Tata McGraw-Hill Education,606 p.;
dad761fccae55ef0a3f86ea82edbc081,UNIX Network Programming,005.754 ste,,,,772 p.;
6741d5e666b42e0692362654d88ea0e0,Project Management,658.404 may,,,,291 p.;
c237d97ca2ade58b18aaca959e5d6d3e,Introduction to languages and the theory of computation,511.3 mar,,,,450 p.;
cfb9394a67b9ac46c892523b56295a8a,An Integrated Approach To Software Engineering,005.1 jal,,,,497 p.;
22c9e3ebf07b599fe0046b890ad065bc,Data Structures And Algorithms,005.73 aho,,,,427 p.;
faeb2d85e2fb6d4fa173d4940e4f85ee,The Java Programming Language,005.133 arn,,,,595 p.;
ca263a92ad25c9ec0f4950c31fefb97e,The Java Tutorial,005.73 cam,,,,964 p.;
fb33f8772a97e4068453499269d6ee4d,Intel Microprocessors 8086/808880186/80188802868038680486pentium and Pentium Pro Processor: Architecture Programming and Interfacing,004.165 bre,,,,907 p.;
b16e7457c0bbd60cf5a9156a56a192a6,Data Structures Using C and C++,005.73 lan,,,,"xvi, 672 p.;"
16b27bf4cf8d7318428c496cb3c9a6b1,systems analysis and design methods,003 whi,,,,724 p.;
7e7333491cd8bd5398ff2290d1bd1f2e,Data Management And File Structures 2Nd Ed.,005.74 loo,,,,488 p.;
5984a8504cf30890c1a43fe28ad56950,microcomputers and microprocessors,004.16 uff,,,,690 p.;
39c63df7311f27ad349e469e5f93270d,File Structures,005.741 fol,,,,724 p.;
37e30a885704338c1c1a2ad9f7ed25d6,structured computer organization,004.22 tan,,,,669 p.;
b3d45ad608ddb70c73d0557ead50fb21,"Troubleshooting, Maintaining & Repairing PCs",621.39160288 big,,,McGraw-Hill/Osborne Media,2000 p.;
2dc387cf231c629dbe21c6d35abf02dc,Data Structures and Program Design in C,005.73 kru,,,,525 p. ;
88f136c6b594f5c7d0e24b2c99e67264,The CORBA Reference Guide,005.276 pop,,,,407 p.;
3924afa539a94a5a23d67c182194c51b,"Object Oriented Analysis, Design and Testing",005.117 bra,,,Institute of Electrical & Electronics Engineers(IEEE),269 p.;
cbaf2353911e9b617cbecfcc6489c757,com and corba side by side,005.276 pri,,,,430 p.;
a91946d1920476262ea4b91ac9903668,Microprocessors Theory And Applications (Intel And Motorola) Rev. Ed.,004.16 raf,,,,468 p.;
31089d583affa8488938fe37d4e006b1,Electronic Devices And Circuits: An Introduction,621.3815 mot,,,,641 p.;
3f473118750604ced124508e6a34ee78,concepts of programming languages,005.13 seb,,,,970 p.;
a05fd1bc7f37374debfff5b9c49759bc,text book of engineering mathematics,510 bal,,,,1246 p.;
f888547bcffb2ac276f56d2627314c15,Electronic Commerce and Business Communications,658.8 che,,,Springer,274 p.;
ff3e1fccd99e09afa00619122f24dcec,Advanced Engineering Mathematics,510 kre,,,Ingram,1156 p.;
42e838236d0736bf06529a719efd0f29,Electronic Principles,621.3515 mal,,,,1012 p.;
0ad2480eed96161ebc1aeb7e175aa84e,Algorithms + Data Structures = Programs,005.1 wir,,,,366 p.;
a02e7d5b79c8fce4280b1f7ce675ed53,calculus and analytic geometry,515 tho,,,,1139 p.;
248a7be217ac5fb52f9c34c9b4707894,Designing Object-Oriented Software,005.117 wir,,,,341 p.;
1244f3f8898230589f314cacfcf2c46e,design and analysis of computer algorithms,005.1 aho,,,,470 p.;
770fab8f84fed1e0dae8da80b073a7f4,Core Java,005.133 hor,,,,736 p.;
9d9aafdfefaaa223aabb9ba930c7c337,c++ faqs,005.13 cli,,,,587 p.;
9a0abf13ea93711e56945029cb91ed79,The Unified Software Development Process,005.1 jac,,,,463 p.;
71c03f3793a43c4c8f3aaab560d067f0,Programming Languages: Design And Implementation 4Th Ed.,005.13 pra,,,,654 p.;
b508f573f459ce10f5474fe95610ccf4,Programming Languages,005.13 app,,,,444 p.
b5df1714e7251c4e05bba63f30240ddb,Computer System Architecture,004.22 man,,,,525 p.;
914e85d5340df77712626157853e1f77,C++ Primer,005.13 lip,,,,1237 p.
459adc9c9e584f0a4fced52a13bbf0ca,Design patterns,005.117 gam,,,,395 p.;
47f9525313eb9c51d3e7d2ade689f319,Object Oriented Programming With C++,005.117 bal,,,Tata McGraw-Hill Education,533 p.;
b08b787ea5927e2cf46e0a8ada86f2ff,Understanding Pointers,005.1 kan,,,Bpb Publications,501 p.;
6da4aa019c766d3e4a8e518dc2f4b7cd,8086/8088 family,004.165 uff,,,,630 p.;
c861f26a496b2b30ed50d807a37e0398,computers and common sense,004 hun,,,,208 p.;
d6c0227175bb9affdedee5432b66b54b,essentials of programming languages,005.13 fri,,,,536 p.
9188cd46a5b321dbb5ba721d25621524,The Art of Computer Programming,005.1 knu,,,,762 p.;
65f0cdd52e562643c1cf56638f39965b,The Art of Computer Programming,005.1 knu,,,,"xiii, 780 p.;"
a22409b4a76af46f4af280f9040eeaae,Fundamentals Of Physics Extended 6/ed,530 hal,,,,1144 p.;
84bdac5ae9b1c5070e02ea8eb9ae3bfb,Practical C Programming 3/E,005.13 oua,,,,428 p.;
1eee238cde2b78832c14d4884e0c3e97,c unleashed,005.74 hea,,,,1344 p.;
55773f8a8540d5f1d325571cfea25b52,principles of communication systems,621.38 tau,,,,759 p.;
eb862a99ca972e3ad3351b1c8387788d,The C Programming Language,005.1 ker,,,Ingram,272 p.;
da8ef1c9757b69141729e2f05fac46c2,ELECTRONICS,621.381 nag,,,PHI Learning Pvt. Ltd.,735 p.;
22958e628b75fdf8ce4282f1fdc6c61c,Programming Languages,005.1 set,,,,640 p.;
b264b532d956a9a1095ecf564b66e044,practical c++ programming,005.13 oua,,,,557 p.;
e75781a7dd148920d7f5247f543a086f,rational unified process: an introduction,005.1 kru,,,,298 p.;
ef332c613bfb7ec85d9f672326144e5d,first book of c++,005.13 bro,,,,800 p.
5c5d95b99eab59dddd4ae7e674c95544,Digital and Analog Communication Systems,621.38 sha,,,,600 p.;
387d773460cf51037a1d5a1435e5ebb4,Communication Systems,621.382 hay,,,,816 p.;
